Name;price;original_price;Brand;Date
Nike Men's Air Monarch IV X-Wide Walking Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike KD Trey 5 VIII Basketball Shoe;89.99;famousfootwear.com;2020-12-11 11
Nike Men's Court Royale 2 Sneaker;54.99;famousfootwear.com;2020-12-11 11
Nike Men's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Precision IV Basketball Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Precision IV Basketball Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Men's SB Charge Skate Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Men's Varsity Compete III Training Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Precision IV Basketball Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Men's Revolution 5 Wide Running Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Men's Court Vision Mid Sneaker;74.99;famousfootwear.com;2020-12-11 11
Nike Lebron Witness V Basketball Shoe;99.99;famousfootwear.com;2020-12-11 11
Nike Men's Court Royale 2 Sneaker;54.99;famousfootwear.com;2020-12-11 11
Nike Men's Air Max VGR Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Men's SB Charge Leather Skate Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Men's Downshifter 10 Running Shoe;59.99;famousfootwear.com;2020-12-11 11
Nike Men's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Men's Tanjun X-Wide Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Men's Court Vision Mid Sneaker;74.99;famousfootwear.com;2020-12-11 11
Nike Men's Downshifter 10 Running Shoe;59.99;famousfootwear.com;2020-12-11 11
Nike Men's SB Charge Skate Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Men's Revolution 5 Fly Ease Running Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Kyrie Flytrap III Basketball Shoe;79.99;famousfootwear.com;2020-12-11 11
Nike Men's Tanjun Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Men's Wearallday Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Men's Quest 3 Running Shoe;74.99;famousfootwear.com;2020-12-11 11
Nike Men's Varsity Compete III Training Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Lebron Witness IV Basketball Shoe;99.99;famousfootwear.com;2020-12-11 11
Nike Men's Juniper Trail Running Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Precision 2 Basketball Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Men's Wearallday Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Revolution 5 Running Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike KD Trey 5 VIII Basketball Shoe;89.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Royale 2 High Top Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Women's MC Training Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Vision Low Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Bella 3 Training Shoe;79.99;famousfootwear.com;2020-12-11 11
Nike Lebron Witness V Basketball Shoe;99.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Vision Low Sneaker;69.99;famousfootwear.com;2020-12-11 11
Nike Lebron Witness V Basketball Shoe;99.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Vision SE Low Sneaker;74.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Royale 2 High Top Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Mamba Fury Basketball Shoe;99.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Royale 2 High Top Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Renew Elevate Basketball Shoe;79.99;famousfootwear.com;2020-12-11 11
Nike Women's Downshifter 10 Running Shoe;59.99;famousfootwear.com;2020-12-11 11
Nike Women's In Season 10 Training Shoe;74.99;famousfootwear.com;2020-12-11 11
Nike Women's Legend Essential 2 Training Sneaker;59.99;famousfootwear.com;2020-12-11 11
Nike Precision III Basketball Shoe;69.99;famousfootwear.com;2020-12-11 11
